,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
10,3,Unidade da Federação,38,Reais,2236.13,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
11,3,Unidade da Federação,38,Reais,1615.48,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
12,3,Unidade da Federação,38,Reais,1412.19,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
13,3,Unidade da Federação,38,Reais,2398.70,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",786,Alto
14,3,Unidade da Federação,38,Reais,1911.39,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",787,Normal
15,3,Unidade da Federação,38,Reais,1338.29,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
16,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
17,3,Unidade da Federação,38,Reais,2281.19,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",786,Alto
18,3,Unidade da Federação,38,Reais,1821.15,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",787,Normal
19,3,Unidade da Federação,38,Reais,1259.13,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
20,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
21,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",786,Alto
22,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",787,Normal
23,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",788,Baixo
24,3,Unidade da Federação,38,Reais,2653.91,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",789,Mínimo
25,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",786,Alto
26,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",787,Normal
27,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",788,Baixo
28,3,Unidade da Federação,38,Reais,3312.55,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",789,Mínimo
29,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",786,Alto
30,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",787,Normal
31,3,Unidade da Federação,38,Reais,1991.83,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",788,Baixo
32,3,Unidade da Federação,38,Reais,1775.78,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",789,Mínimo
33,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",786,Alto
34,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",787,Normal
35,3,Unidade da Federação,38,Reais,1975.55,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",788,Baixo
36,3,Unidade da Federação,38,Reais,1757.27,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",789,Mínimo
37,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",786,Alto
38,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",787,Normal
39,3,Unidade da Federação,38,Reais,1781.56,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",788,Baixo
40,3,Unidade da Federação,38,Reais,1567.63,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",789,Mínimo
41,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",786,Alto
42,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",787,Normal
43,3,Unidade da Federação,38,Reais,1816.51,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",788,Baixo
44,3,Unidade da Federação,38,Reais,1596.93,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",789,Mínimo
45,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7098,"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",786,Alto
46,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7098,"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",787,Normal
47,3,Unidade da Federação,38,Reais,1607.42,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7098,"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",788,Baixo
48,3,Unidade da Federação,38,Reais,1401.86,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7098,"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",789,Mínimo
49,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7099,"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",786,Alto
50,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7099,"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",787,Normal
51,3,Unidade da Federação,38,Reais,1710.79,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7099,"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",788,Baixo
52,3,Unidade da Federação,38,Reais,1499.40,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7099,"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro",789,Mínimo
53,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7100,"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro",786,Alto
54,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7100,"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro",787,Normal
55,3,Unidade da Federação,38,Reais,1608.45,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7100,"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro",788,Baixo
56,3,Unidade da Federação,38,Reais,1449.38,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7100,"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro",789,Mínimo
57,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7101,"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha",786,Alto
58,3,Unidade da Federação,38,Reais,2437.84,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7101,"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha",787,Normal
59,3,Unidade da Federação,38,Reais,1712.93,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7101,"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha",788,Baixo
60,3,Unidade da Federação,38,Reais,1487.18,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7101,"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha",789,Mínimo
61,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7102,"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha",786,Alto
62,3,Unidade da Federação,38,Reais,2062.96,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7102,"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha",787,Normal
63,3,Unidade da Federação,38,Reais,1590.56,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7102,"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha",788,Baixo
64,3,Unidade da Federação,38,Reais,1405.64,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7102,"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha",789,Mínimo
65,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7103,"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
66,3,Unidade da Federação,38,Reais,1795.73,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7103,"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
67,3,Unidade da Federação,38,Reais,1384.99,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7103,"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
68,3,Unidade da Federação,38,Reais,1220.72,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7103,"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
69,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7104,"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço",786,Alto
70,3,Unidade da Federação,38,Reais,1586.29,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7104,"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço",787,Normal
71,3,Unidade da Federação,38,Reais,1269.54,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7104,"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço",788,Baixo
72,3,Unidade da Federação,38,Reais,1112.53,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7104,"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço",789,Mínimo
73,3,Unidade da Federação,38,Reais,2482.74,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7105,"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
74,3,Unidade da Federação,38,Reais,2009.72,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7105,"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
75,3,Unidade da Federação,38,Reais,1617.17,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7105,"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
76,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7105,"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
77,3,Unidade da Federação,38,Reais,2204.89,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7106,"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",786,Alto
78,3,Unidade da Federação,38,Reais,1796.57,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7106,"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",787,Normal
79,3,Unidade da Federação,38,Reais,1462.01,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7106,"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
80,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7106,"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
81,3,Unidade da Federação,38,Reais,2303.27,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7107,"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
82,3,Unidade da Federação,38,Reais,1790.80,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7107,"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
83,3,Unidade da Federação,38,Reais,1430.89,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7107,"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
84,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7107,"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
85,3,Unidade da Federação,38,Reais,2140.22,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7108,"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",786,Alto
86,3,Unidade da Federação,38,Reais,1666.13,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7108,"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",787,Normal
87,3,Unidade da Federação,38,Reais,1342.23,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7108,"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
88,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7108,"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
89,3,Unidade da Federação,38,Reais,1867.77,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7109,"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada",786,Alto
90,3,Unidade da Federação,38,Reais,1463.36,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7109,"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada",787,Normal
91,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7109,"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada",788,Baixo
92,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7109,"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
93,3,Unidade da Federação,38,Reais,2419.32,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7110,"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
94,3,Unidade da Federação,38,Reais,1910.65,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7110,"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
95,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7110,"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
96,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7110,"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
97,3,Unidade da Federação,38,Reais,2132.64,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7111,"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",786,Alto
98,3,Unidade da Federação,38,Reais,1692.64,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7111,"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",787,Normal
99,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7111,"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
100,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7111,"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
101,3,Unidade da Federação,38,Reais,2190.03,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7112,"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada",786,Alto
102,3,Unidade da Federação,38,Reais,1740.70,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7112,"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada",787,Normal
103,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7112,"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada",788,Baixo
104,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7112,"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
105,3,Unidade da Federação,38,Reais,2490.44,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7113,"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
106,3,Unidade da Federação,38,Reais,1983.02,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7113,"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
107,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7113,"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
